# {"t_start": 1551811845.9059472, "env_id": "Hopper-v2"} 
r,l,t
11.853137,17,0.033313
4.448372,8,0.044337
16.238565,23,0.076271
9.240935,11,0.091544
18.759864,23,0.122941
17.096636,22,0.153343
20.502453,25,0.187177
20.470512,27,0.224134
8.504828,10,0.238293
21.978728,24,0.271313
22.42423,24,0.30388
16.066201,19,0.329824
14.811023,20,0.357534
22.415229,25,0.391716
23.623978,27,0.426826
25.41118,28,0.468298
19.436237,21,0.493433
14.257676,18,0.515157
21.951806,27,0.547125
68.232667,61,0.635712
12.827038,14,0.658801
8.471524,11,0.675812
15.45916,19,0.705976
23.918788,30,0.753261
8.03348,10,0.769337
33.691882,32,0.819943
9.904825,13,0.840724
72.244397,63,0.940597
15.290015,18,0.969127
19.461515,23,1.005473
27.481629,30,1.053831
4.924054,7,1.065092
24.88459,26,1.106575
5.594154,7,1.118054
21.387674,27,1.160745
19.05173,22,1.194918
6.472168,9,1.209153
20.445686,24,1.24667
16.008416,23,1.283099
15.180256,19,1.31299
12.294864,14,1.335372
19.074951,21,1.368975
43.4003,39,1.431426
14.235931,15,1.455432
12.717453,22,1.491013
6.280114,10,1.507015
15.245158,21,1.540513
6.896971,9,1.554996
15.706156,21,1.588941
6.434433,8,1.601935
14.064554,15,1.624983
7.031449,9,1.638907
15.834911,18,1.66754
21.865672,24,1.705371
11.602045,14,1.728092
32.431306,30,1.774725
7.295236,10,1.790397
5.674753,8,1.803307
26.912373,29,1.848978
6.010198,8,1.861944
5.892541,8,1.874484
15.531264,17,1.901314
13.479069,18,1.930026
17.212594,23,1.967099
5.92342,8,1.979847
19.557321,24,2.017812
5.389064,8,2.030656
17.786985,24,2.068904
8.915063,11,2.086273
17.307157,23,2.122181
75.678301,59,2.214946
25.736434,25,2.254817
6.025254,8,2.26783
7.594827,10,2.283953
14.041198,22,2.318967
11.040941,14,2.341065
14.171451,17,2.368447
5.871866,8,2.381465
5.986247,8,2.393847
6.108324,9,2.408201
20.715811,22,2.443238
20.649957,31,2.492806
13.042849,20,2.524753
6.552123,8,2.537592
26.432932,25,2.577346
19.981076,21,2.611005
13.485423,17,2.638466
13.168846,15,2.662622
25.443658,29,2.70987
16.334535,19,2.740227
8.993544,11,2.757854
30.389602,30,2.805401
26.862565,26,2.846616
23.703243,26,2.887923
12.878684,16,2.912927
4.747824,7,2.924347
21.38734,22,2.958701
6.266,8,2.971628
24.020055,24,3.009932
5.769684,8,3.022846
23.226797,26,3.06427
12.800941,19,3.0948
20.714411,30,3.142548
84.559912,67,4.921632
26.358217,26,4.964027
10.308482,12,4.982697
12.78864,17,5.009694
21.387325,23,5.046438
25.691454,25,5.085737
19.678207,22,5.120733
11.348266,14,5.142878
55.055491,52,5.22438
9.221168,11,5.242002
29.03088,32,5.292128
17.099475,22,5.327
35.00093,31,5.375489
21.758106,21,5.408557
6.729316,9,5.422691
30.81979,32,5.473528
30.366946,32,5.524977
16.491418,17,5.552355
18.88249,21,5.586906
15.738681,22,5.62249
7.457221,9,5.636867
24.238221,23,5.673311
15.957178,21,5.706984
29.824404,31,5.756431
8.945894,10,5.772499
6.109101,8,5.785363
16.400356,18,5.813784
7.795085,10,5.829443
8.397051,10,5.845393
25.037255,28,5.889952
27.715662,27,5.932852
15.422186,21,5.966566
16.706917,23,6.003423
23.229663,28,6.047451
23.88212,26,6.088703
29.773742,29,6.134646
8.421879,10,6.150353
13.759303,16,6.175441
9.803753,12,6.194695
30.623577,28,6.238493
7.992411,10,6.254416
17.705637,21,6.287881
24.464081,24,6.325964
18.365159,22,6.361741
7.16351,10,6.377254
12.895295,13,6.397956
21.239835,23,6.434229
84.314412,67,6.53974
11.301662,14,6.562117
18.857173,21,6.600174
22.8902,29,6.647866
19.732072,20,6.679574
20.95923,23,6.716315
13.004918,17,6.74353
13.431048,19,6.773913
29.193826,28,6.818272
21.71136,25,6.857857
5.380085,7,6.869278
14.186063,18,6.898004
28.23458,26,6.939111
101.477845,64,7.039388
19.532595,20,7.071033
30.264626,30,7.118175
22.767991,24,7.156284
17.366143,22,7.191205
29.604333,30,7.239102
19.666232,22,7.274181
70.593559,61,7.370866
24.88106,24,7.408231
7.961497,10,7.4239
17.771963,19,7.454726
29.688565,28,7.498964
29.608359,30,7.546264
28.465915,25,7.584903
23.633471,27,7.62772
18.595129,19,7.657598
28.994488,28,7.701994
15.7702,17,7.722776
59.733198,50,7.790056
18.961999,19,7.814547
18.751817,19,7.842102
7.094874,9,7.854033
6.561507,9,7.866208
28.821048,27,7.903607
23.377309,24,7.931652
42.280897,37,7.978322
29.601399,29,8.016993
29.149264,27,9.561013
31.208765,30,9.608621
63.437299,54,9.694517
27.363273,28,9.739169
7.894971,10,9.755019
54.604555,49,9.8326
11.853309,14,9.854954
9.313149,11,9.872327
33.217175,28,9.915752
25.576652,27,9.959146
9.866632,12,9.977861
24.371765,25,10.017963
18.371363,19,10.048136
19.59986,21,10.081887
25.80778,26,10.123219
14.591828,17,10.150435
31.201577,27,10.192521
14.418912,20,10.22454
7.910861,10,10.240529
22.866104,25,10.280601
21.951423,26,10.322188
29.772595,28,10.366212
16.819382,22,10.401325
34.290822,32,10.452284
21.585193,24,10.490644
25.753053,25,10.530555
64.819266,49,10.604958
31.79362,28,10.638755
21.976467,25,10.670041
60.101874,49,10.730496
20.212226,22,10.75543
9.446055,11,10.768634
80.173578,60,10.838396
6.885491,9,10.848917
25.371479,27,10.878099
63.807466,46,10.945412
17.43373,25,10.986056
38.068841,31,11.034526
9.818679,12,11.053741
22.200799,24,11.091178
10.53037,12,11.110264
24.353185,26,11.150223
9.111922,11,11.168152
20.726078,22,11.202261
7.561954,9,11.216979
32.898776,28,11.260333
13.063144,15,11.284059
7.42421,10,11.299698
28.826874,30,11.346653
9.122514,11,11.364339
23.565537,25,11.403596
8.191038,10,11.419525
20.452861,22,11.454232
15.478228,17,11.480689
30.895445,28,11.524574
45.379897,38,11.58463
107.798574,82,11.712136
30.275175,27,11.753699
82.287428,61,11.849801
86.330411,66,11.954063
9.322384,11,11.971437
8.324065,10,11.987379
81.810263,61,12.081546
27.84146,27,12.124377
42.684682,38,12.184366
9.911685,11,12.201692
9.696483,12,12.220624
13.684035,15,12.244687
20.199978,21,12.277932
17.680801,19,12.308264
83.705673,55,12.394436
19.750585,25,12.43282
71.652909,55,12.518832
8.781653,11,12.536342
23.449094,22,12.571028
3.277862,6,12.580778
20.569146,21,12.612604
23.494499,25,12.652321
29.110402,29,14.290559
80.981966,52,14.371247
85.963399,62,14.467311
32.888618,29,14.512238
24.602016,24,14.549816
37.306897,36,14.606663
66.487937,46,14.678842
84.831774,63,14.777713
99.511933,81,14.905992
28.755582,29,14.95209
93.789077,59,15.044054
24.13234,28,15.088451
8.044437,10,15.103895
49.456981,38,15.16309
22.456939,25,15.202859
25.154276,26,15.243969
35.044297,34,15.302033
25.086209,24,15.34146
96.050888,63,15.439838
46.969698,39,15.500836
34.971483,30,15.54801
67.397099,53,15.630947
19.580864,19,15.661186
72.651617,60,15.755829
31.955947,32,15.806095
69.215178,44,15.873412
112.748966,73,15.988226
25.656368,27,16.031013
69.871723,45,16.101055
87.770936,60,16.19469
101.852076,72,16.307961
32.621124,33,16.348863
31.286547,33,16.392771
80.852889,55,16.460356
68.725834,53,16.5261
81.083581,57,16.59771
31.846493,32,16.642159
93.814036,74,16.755515
44.946977,38,16.814443
37.563599,32,16.863131
21.925225,23,16.899348
144.358115,84,17.026539
27.356995,24,17.064018
19.597496,24,17.101225
31.239359,30,17.14769
21.247215,21,17.180804
35.295158,31,17.228483
38.284485,32,17.278364
37.412013,31,17.326081
24.824826,24,17.362731
155.088205,95,19.074637
105.342495,71,19.184127
102.353912,69,19.291521
37.053466,32,19.340964
29.024626,26,19.381627
159.055781,103,19.538963
81.063577,49,19.615739
94.070192,63,19.713041
102.539814,67,19.815901
77.102329,55,19.900412
126.053103,95,20.035332
46.144551,43,20.102081
99.366738,63,20.199372
8.49868,10,20.215267
111.981822,74,20.328727
29.143708,29,20.373968
110.020535,73,20.487285
41.683958,34,20.540305
104.922475,74,20.656937
30.588334,33,20.708766
59.737936,39,20.768549
142.172554,93,20.911607
124.944907,77,21.030747
103.431445,70,21.139948
35.966432,34,21.193453
40.105573,32,21.243291
42.051778,33,21.294561
10.706401,12,21.313636
26.941124,24,21.350964
29.546214,26,21.391209
82.198803,54,21.47481
41.870884,34,21.527303
91.585619,68,21.633919
136.216966,92,21.776508
41.595418,33,21.827478
86.944316,53,21.909699
24.29811,28,21.954142
17.108341,18,21.982664
20.928455,20,22.014122
36.30082,30,22.060549
18.820758,21,22.094534
104.005434,65,23.765586
253.225006,148,23.965863
126.919081,76,24.062733
30.380238,26,24.097471
75.340133,51,24.165193
31.902191,27,24.203056
68.864138,43,24.271324
77.171833,49,24.349678
103.018129,62,24.447492
50.148471,36,24.503784
72.414933,44,24.573926
206.098528,123,24.768729
162.30053,106,24.936551
80.939106,51,25.017878
86.69742,52,25.100105
68.289784,44,25.1696
229.172707,135,25.381958
23.414553,22,25.417201
105.033491,67,25.523039
31.814665,27,25.565454
76.931313,46,25.638743
109.071085,71,25.711028
98.453033,57,25.76234
105.895804,60,25.815916
94.520928,55,25.864982
58.814676,37,25.898679
161.806972,93,25.981722
81.003081,50,26.026299
189.764121,102,26.117321
74.637813,45,26.16569
102.385734,58,26.227502
22.214633,21,26.250466
96.496494,55,26.308697
27.430548,24,26.33478
248.328508,149,27.95266
76.879667,47,28.025369
98.843409,56,28.111475
101.505796,58,28.200356
126.37724,81,28.315665
37.500862,30,28.356865
61.629044,38,28.408555
181.848624,129,28.608799
98.756532,58,28.69973
168.594385,109,28.869331
85.21698,51,28.949282
77.696393,47,29.021293
29.574282,26,29.061149
167.139473,116,29.241071
153.238347,83,29.369432
73.750993,45,29.438429
197.358622,104,29.60002
83.646543,49,29.674998
112.526289,67,29.778121
73.394752,45,29.847547
164.472051,105,30.010584
83.599714,49,30.086934
37.794616,30,30.13398
222.424649,124,30.327031
247.072359,136,30.53741
170.683598,94,30.682015
38.663057,31,30.730334
87.203846,53,30.812682
294.061593,198,32.614946
238.540391,129,32.790737
74.909603,47,32.85178
89.909958,52,32.91957
299.576103,201,33.188801
124.380975,76,33.306621
241.935124,136,33.517363
205.733849,126,33.71473
255.828517,150,33.947377
119.381142,67,34.051295
89.147174,52,34.13252
161.128038,83,34.26063
114.358421,65,34.363044
16.065783,16,34.38855
191.834171,97,34.538438
108.585486,66,34.640447
249.782024,153,34.879639
58.157164,36,34.936293
233.652118,130,35.13899
82.225531,49,35.21594
249.033909,162,35.469844
239.45965,134,37.107953
68.331761,42,37.162108
159.552268,88,37.275956
218.198334,115,37.428137
188.246647,104,37.570563
33.806217,27,37.598598
176.862495,96,37.694185
258.806249,138,37.832588
84.2455,50,37.878519
237.28802,133,37.996708
219.796126,117,38.099074
249.298099,135,38.218377
259.735169,154,38.354499
77.533504,47,38.39558
241.500544,131,38.512216
206.206888,113,38.621264
160.18436,104,38.733128
184.109145,98,38.835727
125.259341,71,38.926615
166.638222,86,39.039343
242.534235,134,40.605554
237.098809,122,40.750231
241.842343,133,40.917156
236.964422,118,41.050207
83.16651,50,41.114429
240.229183,131,41.285486
117.77849,66,41.368458
222.596294,132,41.501473
150.76007,89,41.589521
245.237948,134,41.724936
214.076645,127,41.861013
176.186735,95,41.981048
240.527084,125,42.138733
237.356401,129,42.281387
233.638181,123,42.450603
237.612469,131,42.654418
246.699678,140,42.873229
149.866057,85,43.003474
228.017081,119,44.739827
230.742371,130,44.945305
189.234303,98,45.098375
224.073471,121,45.289318
92.352002,53,45.373947
99.288248,56,45.466086
108.384814,61,45.575346
196.522486,99,45.752084
237.40548,126,45.975884
222.76552,112,46.171825
225.754398,115,46.36686
202.041056,110,46.551768
83.437395,49,46.638484
243.095588,131,46.871396
114.556717,63,46.982464
252.936551,137,47.225027
231.977659,123,47.442725
238.80804,133,47.679474
259.104071,151,47.880868
216.049029,121,48.049251
210.012169,106,49.671405
67.861908,41,49.735782
191.490096,102,49.893988
239.279724,129,50.095482
248.996296,140,50.314323
250.852488,142,50.536207
259.163598,153,50.774959
219.738635,120,50.932217
249.974041,132,51.073609
224.600639,122,51.231494
239.572975,121,51.374452
246.300733,140,51.552438
261.346731,167,51.763553
225.792271,116,51.91036
222.82648,106,52.047123
86.213712,51,52.110658
233.009418,136,52.281222
238.324592,133,53.931685
224.862787,118,54.086444
252.814839,144,54.240317
252.813763,137,54.390748
238.565851,123,54.543331
243.078641,128,54.707038
251.367279,136,54.881529
240.336121,134,55.057131
258.280519,152,55.254982
241.794312,123,55.416385
258.013349,142,55.604205
260.693524,140,55.770701
196.627575,98,55.888372
207.912463,103,56.003114
229.585923,131,56.166565
251.710008,138,56.385512
247.464123,133,58.232512
270.473211,151,58.466867
254.426886,135,58.674847
228.868138,120,58.860471
290.089885,187,59.153569
256.757127,135,59.360306
248.939154,126,59.554384
265.021856,138,59.767664
254.475685,125,59.960985
238.024812,122,60.149857
272.66368,159,60.348343
264.184397,141,60.51181
257.81207,127,60.676753
238.521265,125,60.841736
245.428951,122,61.001649
256.993427,143,62.585081
194.433471,102,62.69363
220.547569,105,62.839011
269.263807,152,63.03803
252.864096,131,63.207006
280.437108,173,63.429561
260.345483,152,63.620357
240.28579,134,63.788067
276.046506,158,63.987606
102.752984,58,64.064481
242.545606,128,64.227983
253.599414,132,64.390975
257.029514,145,64.570235
253.278017,134,64.741824
263.891924,148,64.926317
249.562215,129,66.492228
241.502899,131,66.694812
269.568852,150,66.92711
268.837787,144,67.126338
242.275824,123,67.280782
255.006464,137,67.459021
252.705057,130,67.619183
255.102587,136,67.793883
274.752994,150,67.981628
235.990174,122,68.131606
277.739871,160,68.321858
244.058878,130,68.489524
236.126502,118,68.632875
255.608066,140,68.794979
267.250588,142,68.975352
261.606889,135,70.761382
266.724145,140,70.982301
257.999864,140,71.202172
257.220443,129,71.404042
262.825105,132,71.610636
271.290314,137,71.826132
279.471342,147,72.056847
285.714771,162,72.31111
285.360026,164,72.551561
252.123659,136,72.726517
270.093506,146,72.911335
262.492166,139,73.085459
274.666038,147,73.265861
270.976853,133,73.454636
273.851929,151,75.215372
273.211953,139,75.400165
273.208175,159,75.601307
265.802289,138,75.781464
271.327973,137,75.958555
259.440964,132,76.12949
281.717436,144,76.314461
268.733816,130,76.485951
268.705591,145,76.665442
268.0983,138,76.825411
286.740474,150,77.024827
268.637247,132,77.197357
245.319537,122,77.331484
257.470534,136,77.5136
264.762453,142,77.703963
299.826527,165,79.417017
298.472151,171,79.684429
277.72544,149,79.915195
270.148351,138,80.132005
278.594176,142,80.313433
273.221338,144,80.484845
294.797454,165,80.691381
273.129019,145,80.877966
272.926686,143,81.048037
275.378805,140,81.222863
267.820474,136,81.393683
265.489453,134,81.561321
289.144722,175,81.776238
283.303108,162,81.980543
290.190327,160,83.626846
293.395059,165,83.88603
286.835009,151,84.123066
297.842946,161,84.375128
280.933546,150,84.610457
314.098416,183,84.841507
277.828336,136,85.004644
300.696433,170,85.226748
262.70356,142,85.415839
280.061679,147,85.616901
285.838879,151,85.813851
296.920251,163,86.022713
287.598793,162,86.237457
299.923132,175,87.926146
312.186891,176,88.104101
299.696391,172,88.270936
293.059037,159,88.453796
311.708708,175,88.678549
304.999096,178,88.913234
313.478833,168,89.128443
311.189494,176,89.365218
292.543794,152,89.560389
298.698677,160,89.761304
290.329237,156,89.949779
314.936134,182,90.185465
312.967289,179,92.046432
336.397717,198,92.358053
315.851592,186,92.62913
310.477255,170,92.84692
334.679607,199,93.074789
313.853938,178,93.301817
287.95912,150,93.499825
301.800206,163,93.714909
286.15556,140,93.873639
330.254991,186,94.161122
290.372303,146,94.387315
394.129692,255,96.350764
300.732205,160,96.5999
285.250922,156,96.84479
296.48214,146,97.073738
320.367225,172,97.343737
298.738283,153,97.581892
307.115385,170,97.813908
286.985173,149,98.00692
273.345166,133,98.169182
337.539779,196,98.427714
304.296666,159,98.672553
367.546812,221,99.016366
333.92611,188,100.822558
352.892115,210,101.147752
306.422256,156,101.390474
290.152734,155,101.630068
305.942211,157,101.873005
329.174792,174,102.066251
310.736479,161,102.274857
306.527124,171,102.538872
330.972597,191,102.835777
318.417701,177,103.110041
307.251463,165,103.366548
293.038604,148,103.595616
315.426732,176,105.435076
332.172078,173,105.618288
318.789677,166,105.816524
336.646088,185,106.041383
304.283856,156,106.269374
355.534618,203,106.585305
309.332639,158,106.827045
299.578487,153,107.063788
333.292622,180,107.343182
311.563891,164,107.593754
309.836885,166,107.849684
344.637106,201,108.158344
354.935348,206,110.086174
306.77877,156,110.287956
335.043771,193,110.577263
341.262176,172,110.807788
312.269571,164,111.007596
294.516147,140,111.175109
340.272879,187,111.416753
287.445335,134,111.587265
297.395709,139,111.758703
325.371245,169,111.977147
329.597927,172,112.194063
335.437353,188,112.416086
302.055543,145,112.581184
327.875527,175,114.132852
298.846009,144,114.2896
304.808721,146,114.469508
293.882498,135,114.650179
332.841693,173,114.884478
300.579892,146,115.045607
286.249817,138,115.217801
293.51306,139,115.396835
300.876144,152,115.595489
307.840656,152,115.787175
319.1654,165,116.003085
313.712402,150,116.196325
285.469812,130,116.364771
299.663137,149,118.072171
335.465648,190,118.364178
297.042138,140,118.578347
311.659076,166,118.833687
322.058125,156,119.071329
313.974632,155,119.308605
288.954263,138,119.51983
276.026515,128,119.715191
313.241228,162,119.967121
303.23422,150,120.170767
308.051741,148,120.349078
349.371548,195,120.589809
320.166417,159,120.78089
261.218684,123,120.931947
318.615273,159,122.595579
316.60683,153,122.785025
281.685233,130,122.981617
283.893056,137,123.192222
298.425471,141,123.408402
314.143001,157,123.649345
301.582035,147,123.87623
308.504849,141,124.092805
311.413766,157,124.324642
252.375948,121,124.512591
323.735353,164,124.767223
297.210298,142,124.989038
310.302416,147,125.218033
266.117353,130,125.421403
296.256908,140,127.251109
318.603202,157,127.499012
306.707412,148,127.734028
307.885636,153,127.977039
321.29699,162,128.232839
295.418095,139,128.453045
286.98641,137,128.668131
297.002303,140,128.890451
304.909462,141,129.113416
280.843368,135,129.326962
289.127493,134,129.537575
285.549504,132,129.745928
119.77999,65,129.849264
305.891024,146,130.066468
309.29906,152,131.665476
287.31881,133,131.807915
303.918525,137,131.955501
283.347166,128,132.100734
298.449755,143,132.293829
297.821217,139,132.47865
297.364215,139,132.673584
303.954961,146,132.901793
316.367376,154,133.143805
318.524299,153,133.38431
305.686316,144,133.611023
306.572107,147,133.843207
296.902117,141,134.063657
314.467706,156,134.308646
317.557721,152,134.54785
321.89557,148,136.319916
294.619892,134,136.528188
295.404203,138,136.743229
294.928876,133,136.929558
310.573526,149,137.122257
284.51242,131,137.293417
293.842095,138,137.466622
296.620678,139,137.653727
292.395051,148,137.833364
306.969642,149,138.028331
291.544328,138,138.207314
299.205672,139,138.38564
306.354354,140,138.604248
297.415874,142,138.827545
306.636884,147,140.664923
305.906467,143,140.866723
337.767713,177,141.098815
315.725502,147,141.280597
296.714198,137,141.418682
301.728065,139,141.584228
305.806927,139,141.743486
337.701204,174,141.948453
312.493461,151,142.131717
305.003283,143,142.307753
322.160078,156,142.503176
329.601886,168,142.759342
294.713319,136,142.966819
303.851053,143,143.189914
294.607555,137,144.98701
317.560756,161,145.229589
300.94928,139,145.442381
294.139018,132,145.629874
298.364884,139,145.798451
312.079286,149,145.980773
309.748982,150,146.167648
318.78695,151,146.358449
303.110209,141,146.571352
312.033723,145,146.795305
334.641588,167,147.053811
285.375735,132,147.258321
294.73629,135,147.466949
304.082643,142,147.686965
300.009993,139,149.54192
307.862917,143,149.766566
296.169502,136,149.971456
294.357745,134,150.1494
345.009774,192,150.392541
312.85811,147,150.584887
301.717892,144,150.788014
314.118619,147,151.014871
313.5431,155,151.256849
297.306834,134,151.46461
302.572718,136,151.675471
286.357751,135,151.885668
311.075272,151,152.121617
283.976705,131,152.325081
318.512112,153,154.096056
310.318625,145,154.280671
317.669652,151,154.467922
320.837999,155,154.664223
282.405051,131,154.836707
296.249278,135,155.013615
309.713958,149,155.201278
314.585222,151,155.387886
308.363797,142,155.559243
299.060664,133,155.727139
301.849118,142,155.899794
309.273564,144,156.064752
315.714543,149,156.263248
296.319523,137,156.444375
307.067525,149,158.180034
310.994545,151,158.412349
309.521215,145,158.635354
296.672453,136,158.844429
306.21928,149,159.072458
294.151859,133,159.276028
314.041986,145,159.4973
306.857245,143,159.715951
297.030615,144,159.936913
302.487265,141,160.153219
343.429087,179,160.428544
310.070255,150,160.658587
316.044329,151,160.891542
305.726231,141,161.108356
298.177371,137,161.319973
305.896035,146,163.033384
308.57115,142,163.253277
296.26386,138,163.467503
315.594111,141,163.686089
308.671318,141,163.904973
304.907445,143,164.127067
302.008194,139,164.313238
